featcode,rowindex,type,featconst,name,description,icon,mincharlevel,minattackbonus,minstr,mindex,minint,minwis,minspelllvl,prereqfeat1,prereqfeat2,gainmultiple,effectsstack,allclassescanuse,category,maxcr,spellid,successor,crvalue,usesperday,masterfeat,targetself,orreqfeat0,orreqfeat1,orreqfeat2,orreqfeat3,orreqfeat4,reqskill,toolscategories,hostilefeat,,scd_list,sol_list,sct_list,tec_list,drx_list,drc_list,jcn_list,jgd_list,jsn_list,sas_list,sld_list,sma_list,jwa_list,jma_list,jwm_list,,jcn_pc_granted,jgd_pc_granted,jsn_pc_granted,scd_granted,sol_granted,sct_granted,tec_granted,drx_granted,drc_granted,jcn_granted,jgd_granted,jsn_granted,sas_granted,sld_granted,sma_granted,jwa_granted,jma_granted,jwm_granted,,handmaiden,baodur,hanharr,hk47,g0t0,atton,kreia,exclusion,usetype,pips
WEAPON_FOCUS_BLASTER,32,skip,FEAT_WEAPON_FOCUS_BLASTER,182,1156,if_weapfoc01,****,****,****,****,****,****,****,****,****,0,0,1,****,****,****,46,****,****,0,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0x00,1,1
WEAPON_FOCUS_BLASTER_RIFLE,33,skip,FEAT_WEAPON_FOCUS_BLASTER_RIFLE,183,1157,if_weapfoc02,****,****,****,****,****,****,****,****,****,0,0,1,****,****,****,47,****,****,0,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0x00,****,2
XXXX_WEAPON_FOCUS_GRENADE,34,skip,FEAT_WEAPON_FOCUS_GRENADE,184,1158,if_weapfoc03,****,****,****,****,****,****,****,****,****,0,0,1,****,****,****,48,****,****,0,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,255,0x00,****,2
XXXX_WEAPON_FOCUS_HEAVY_WEAPONS,35,skip,FEAT_WEAPON_FOCUS_HEAVY_WEAPONS,185,1159,if_weapfoc04,****,****,****,****,****,****,****,****,****,0,0,1,****,****,****,49,****,****,0,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0x00,****,2
WEAPON_FOCUS_LIGHTSABER,36,skip,FEAT_WEAPON_FOCUS_LIGHTSABER,186,1160,if_weapfoc05,****,****,****,****,****,****,****,****,****,0,0,1,****,****,****,50,****,****,0,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0x00,****,2
WEAPON_FOCUS_MELEE_WEAPONS,37,skip,FEAT_WEAPON_FOCUS_MELEE_WEAPONS,187,1161,if_weapfoc06,****,****,****,****,****,****,****,****,****,0,0,1,****,****,****,51,****,****,0,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0x00,****,2
XXXX_WEAPON_FOCUS_SIMPLE_WEAPONS,38,skip,FEAT_WEAPON_FOCUS_SIMPLE_WEAPONS,188,1162,if_weapfoc07,****,****,****,****,****,****,****,****,****,0,0,1,****,****,****,52,****,****,0,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0x00,****,2
WEAPON_PROF_BLASTER,39,skip,FEAT_WEAPON_PROFICIENCY_BLASTER,189,1163,if_weapprof01,****,****,****,****,****,****,****,****,****,0,0,1,****,****,****,32,****,****,1,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0x00,****,2
WEAPON_PROF_BLASTER_RIFLE,40,skip,FEAT_WEAPON_PROFICIENCY_BLASTER_RIFLE,190,1164,if_weapprof02,****,****,****,****,****,****,****,****,****,0,0,1,****,****,****,33,****,****,1,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0x00,****,1
XXXX_WEAPON_PROF_GRENADE,41,skip,FEAT_WEAPON_PROFICIENCY_GRENADE,191,1165,if_weapprof03,****,****,****,****,****,****,****,****,****,0,0,1,****,****,****,34,****,****,1,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,255,0x00,****,1
XXXX_WEAPON_PROF_HEAVY_WEAPONS,42,skip,FEAT_WEAPON_PROFICIENCY_HEAVY_WEAPONS,192,1166,if_weapprof04,****,****,****,****,****,****,****,****,****,0,0,1,****,****,****,35,****,****,1,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0x00,****,1
WEAPON_PROF_LIGHTSABER,43,skip,FEAT_WEAPON_PROFICIENCY_LIGHTSABER,193,1167,if_weapprof05,****,****,****,****,****,****,****,****,****,0,0,1,****,****,****,36,****,****,1,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0x00,****,1
WEAPON_PROF_MELEE_WEAPONS,44,skip,FEAT_WEAPON_PROFICIENCY_MELEE_WEAPONS,194,1168,if_weapprof06,****,****,****,****,****,****,****,****,****,0,0,1,****,****,****,37,****,****,1,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0x00,****,1
XXXX_WEAPON_PROF_SIMPLE_WEAPONS,45,skip,FEAT_WEAPON_PROFICIENCY_SIMPLE_WEAPONS,195,1169,if_weapprof07,****,****,****,****,****,****,****,****,****,0,0,1,****,****,****,****,****,****,1,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0x00,****,1
WEAPON_SPEC_BLASTER,46,skip,FEAT_WEAPON_SPECIALIZATION_BLASTER,196,1170,if_weapspec01,4,****,****,****,****,****,****,****,****,0,0,0,****,****,****,****,****,****,2,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0x00,****,1
WEAPON_SPEC_BLASTER_RIFLE,47,skip,FEAT_WEAPON_SPECIALIZATION_BLASTER_RIFLE,197,1171,if_weapspec02,4,****,****,****,****,****,****,****,****,0,0,0,****,****,****,****,****,****,2,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0x00,****,3
XXXX_WEAPON_SPEC_GRENADE,48,skip,FEAT_WEAPON_SPECIALIZATION_GRENADE,198,1172,if_weapspec03,****,****,****,****,****,****,****,****,****,0,0,0,****,****,****,****,****,****,2,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,255,0x00,****,3
XXXX_WEAPON_SPEC_HEAVY_WEAPONS,49,skip,FEAT_WEAPON_SPECIALIZATION_HEAVY_WEAPONS,199,1173,if_weapspec04,4,****,****,****,****,****,****,****,****,0,0,0,****,****,****,****,****,****,2,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0x00,****,3
WEAPON_SPEC_LIGHTSABER,50,change,FEAT_WEAPON_SPECIALIZATION_LIGHTSABER,200,1174,if_weapspec05,4,****,****,****,****,****,****,****,****,0,0,0,****,****,****,****,****,****,2,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0x00,****,3
WEAPON_SPEC_MELEE_WEAPONS,51,change,FEAT_WEAPON_SPECIALIZATION_MELEE_WEAPONS,201,1175,if_weapspec06,4,****,****,****,****,****,****,****,****,0,0,0,****,****,****,****,****,****,2,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0x00,****,3
XXXX_WEAPON_SPEC_SIMPLE_WEAPONS,52,skip,FEAT_WEAPON_SPECIALIZATION_SIMPLE_WEAPONS,202,1176,if_weapspec07,****,****,****,****,****,****,****,****,****,0,0,0,****,****,****,****,****,****,2,****,****,****,****,****,****,****,1,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0x00,****,3
BOXF_FLURRY_3,53,change,FEAT_FLURRY_3,Combat Technique - Master Flurry,1177,if_flurry03,15,****,****,****,****,****,****,11,91,0,0,1,0x1104,9,****,****,****,****,****,****,****,****,****,****,****,****,2,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0x00,****,3
XXXX_GUARD_STANCE,54,skip,FEAT_GUARD_STANCE,147,1178,if_gstance,****,****,****,****,****,****,****,****,****,0,0,1,0x1808,3,****,****,****,****,****,1,****,****,****,****,****,****,3,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0x00,0,3
BOXF_DEFLECT_1,55,change,FEAT_DEFLECT_1,Jedi Ability - Blaster Deflection,1179,if_jedidef01,****,****,****,****,****,****,****,****,****,0,0,0,0x1808,3,****,1,****,****,****,1,****,****,****,****,****,****,3,0,,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0x00,****,1
UNCANNY_DODGE_1,56,change,FEAT_UNCANNY_DODGE_1,159,32146,if_dodge01,****,****,****,****,****,****,****,****,****,0,0,1,****,****,****,57,****,****,****,****,****,****,****,****,****,****,5,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0x00,****,1
UNCANNY_DODGE_2,57,change,FEAT_UNCANNY_DODGE_2,163,32147,if_dodge02,****,****,****,****,****,****,****,56,****,0,0,1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,5,0,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0x00,****,1
