spellcode,type,spellconst,name,script,spellindex,powercost,levelreq,spellcr,prereq,spellcategory,spellrange,icon,conjanim,castanim,casthand,priority,hostile,spellexclusion,functioncall,visualfunction,locationfunction,alignment,castdc,radius,spellshape
BOXFP_FORCE_ENLIGHTENMENT,buff,POWER_FORCE_ENLIGHTENMENT,Force Enlightenment,box_forceenlight,,90,22,9,True,0x1808,P,ip_forcebody03,hand,self,v_con_light,1,FALSE,0x00,Box_EnlightenPower,Box_NoVisual,,POWER_TYPE_LIGHT,18,,
BOXFP_FORCE_FEAR,attack,POWER_FORCE_FEAR,Force Fear,box_forcefear,,35,10,3,False,0x1201,M,ip_fear,hand,dark,v_con_dark,0,TRUE,0x02,Box_FearPower,Box_NoBeam,,POWER_TYPE_DARK,9,6,SHAPE_SPHERE
BOXFP_FORCE_INSANITY,aoe,POWER_FORCE_INSANITY,Force Insanity,box_forceinsanity,,70,22,6,True,0x2201,M,ip_horror,hand,dark,v_con_dark,1,TRUE,0x02,Box_FearPower,Box_NoBeam,GetSpellTargetLocation(),POWER_TYPE_DARK,20,,
BOXFP_FORCE_PUSH,attack,POWER_FORCE_PUSH,Force Push,box_forcepush,,40,15,6,False,0x1301,M,ip_push,hand,self,v_fpush_cas,0,TRUE,0x00,Box_PushPower,Box_NoBeam,,POWER_TYPE_UNIVERSAL,12,,
BOXFP_FORCE_WAVE,aoe,POWER_FORCE_WAVE,Force Wave,box_forcewave,,80,25,9,True,0x2302,S,ip_wave,up,up,v_fpush_cas,1,TRUE,0x00,Box_PushPower,Box_NoBeam,GetLocation(OBJECT_SELF),POWER_TYPE_UNIVERSAL,20,12,SHAPE_SPHERE
BOXFP_FORCE_BLIND,attack,POWER_FORCE_BLIND,Force Blind,box_forceblind,,40,15,6,False,0x1101,M,ip_stun,hand,self,****,0,TRUE,0x02,Box_BlindPower,Box_NoBeam,,POWER_TYPE_UNIVERSAL,12,,
BOXFP_FORCE_SUPPRESS,attack,POWER_FORCE_SUPPRESS,Force Suppress,box_forcesuppress,,40,15,6,False,0x1101,M,ip_surpress,hand,self,v_con_light,0,TRUE,0x02,Box_SuppressPower,Box_NoBeam,,POWER_TYPE_LIGHT,12,,
BOXFP_FORCE_CHOKE,attack,POWER_FORCE_CHOKE,Force Choke,box_forcechoke,,40,15,6,False,0x1301,M,ip_choke,hand,dark,v_con_dark,0,TRUE,0x02,Box_ChokePower,Box_NoBeam,,POWER_TYPE_DARK,12,,
BOXFP_FORCE_CRUSH,crush,POWER_FORCE_CRUSH,Force Crush,box_forcecrush,,80,25,9,True,****,S,ip_forcecrush,hand,crush,v_con_dark,1,TRUE,0x00,Box_CrushPower,Box_NoBeam,GetLocation(OBJECT_SELF),POWER_TYPE_DARK,20,12,SHAPE_SPHERE
BOXFP_FORCE_AGILITY,buff,POWER_FORCE_AGILITY,Force Agility,box_forceagility,,70,20,6,False,0x1808,P,ip_masterspeed,hand,self,****,0,FALSE,0x00,Box_AgilityPower,Box_NoVisual,,POWER_TYPE_UNIVERSAL,15,,
BOXFP_BATTLE_MEDITATION,teambuff,POWER_BATTLE_MEDITATION,Battle Meditation,box_battlemeditation,,90,20,6,False,0x1808,T,ip_battlemed01,hand,self,****,0,FALSE,0x00,Box_MeditationPower,Box_NoVisual,,POWER_TYPE_UNIVERSAL,15,,
BOXFP_MASTER_MEDITATION,teambuff,POWER_MASTER_MEDITATION,Master Battle Meditation,box_mastermeditation,,150,27,9,True,0x1808,T,ip_battlemed03,hand,self,****,1,FALSE,0x00,Box_MasterMeditationPower,Box_NoVisual,,POWER_TYPE_UNIVERSAL,22,,
BOXFP_FORCE_PARALYSIS,attack,POWER_FORCE_PARALYSIS,Force Paralysis,box_forceparalysis,,45,20,6,False,0x1201,M,ip_hold,hand,self,v_con_light,0,TRUE,0x02,Box_ParalysisPower,Box_NoBeam,,POWER_TYPE_LIGHT,15,,
BOXFP_PARALYSIS_WAVE,aoe,POWER_PARALYSIS_WAVE,Paralysis Wave,box_paralysiswave,,90,27,9,True,0x2201,M,ip_hold,hand,self,v_con_light,1,TRUE,0x02,Box_ParalysisPower,Box_NoBeam,GetSpellTargetLocation(),POWER_TYPE_LIGHT,22,6,SHAPE_SPHERE
BOXFP_FORCE_DRAIN,attack,POWER_FORCE_DRAIN,Force Drain,box_forcedrain,,45,20,6,False,0x1501,M,ip_drainforce01,hand,dark,v_con_dark,0,TRUE,0x02,Box_DrainPower,Box_ForceDrainBeam,,POWER_TYPE_DARK,15,,
BOXFP_DEATH_FIELD,aoe,POWER_DEATH_FIELD,Death Field,box_deathfield,,90,27,9,True,0x2101,S,ip_drainforce03,up,up,v_con_dark,1,TRUE,0x02,Box_DrainPower,Box_ForceDrainBeam,GetLocation(OBJECT_SELF),POWER_TYPE_DARK,22,12,SHAPE_SPHERE
BOXFP_FORCE_CONFUSION,attack,POWER_FORCE_CONFUSION,Force Confusion,box_forceconfusion,,50,22,9,False,0x1201,M,ip_mindtrick,hand,self,****,0,TRUE,0x02,Box_ConfusionPower,Box_NoBeam,,POWER_TYPE_UNIVERSAL,18,,
BOXFP_MASS_CONFUSION,aoe,POWER_MASS_CONFUSION,Mass Confusion,box_massconfusion,,100,30,9,True,0x2201,S,ip_confusion,up,up,****,1,TRUE,0x02,Box_MassConfusionPower,Box_NoBeam,GetLocation(OBJECT_SELF),POWER_TYPE_UNIVERSAL,24,15,SHAPE_SPHERE
BOXFP_FORCE_LIGHT,attack,POWER_FORCE_LIGHT,Force Light,box_forcelight,,50,22,9,False,0x1201,M,ip_frcenlighten,hand,self,v_con_light,0,TRUE,0x02,Box_LightPower,Box_NoBeam,,POWER_TYPE_LIGHT,18,,
BOXFP_WALL_OF_LIGHT,aoe,POWER_WALL_OF_LIGHT,Wall of Light,box_walloflight,,100,30,9,True,0x2201,S,ip_frcenlighten,up,up,v_con_light,1,TRUE,0x02,Box_LightPower,Box_NoBeam,GetLocation(OBJECT_SELF),POWER_TYPE_LIGHT,24,15,SHAPE_SPHERE
BOXFP_FORCE_LIGHTNING,attack,POWER_FORCE_LIGHTNING,Force Lightning,box_forcelightning,,50,22,9,False,0x8101,M,ip_lightning,hand,dark,v_con_dark,0,TRUE,0x00,Box_LightningPower,Box_ForceLightningBeam,,POWER_TYPE_DARK,18,,
BOXFP_FORCE_STORM,aoe,POWER_FORCE_STORM,Force Storm,box_forcestorm,,100,30,9,True,0x2111,S,ip_storm,up,up,v_con_dark,1,TRUE,0x00,Box_LightningPower,Box_ForceLightningBeam,GetLocation(OBJECT_SELF),POWER_TYPE_DARK,24,15,SHAPE_SPHERE
